order_id,customer_id,order_date,sales_channel,region,order_status
O000001,C01417,2025-09-04,Marketplace,West,Returned
O000002,C01267,2025-09-23,Retail Store,Midwest,Returned
O000003,C00180,2025-03-19,Mobile App,Midwest,Completed
O000004,C00055,2023-02-02,Mobile App,South,Completed
O000005,C01283,2024-05-10,Mobile App,West,Completed
O000006,C00239,2025-05-14,Mobile App,Northeast,Completed
O000007,C00966,2025-06-30,Online,West,Completed
O000008,C01167,2024-02-17,Marketplace,Midwest,Completed
O000009,C01016,2025-06-03,Retail Store,West,Completed
O000010,C01463,2025-09-26,Online,South,Completed
O000011,C00549,2024-10-08,Marketplace,Northeast,Completed
O000012,C01429,2024-12-11,Marketplace,West,Completed
O000013,C00898,2025-08-19,Mobile App,Midwest,Completed
O000014,C00269,2024-11-25,Retail Store,West,Completed
O000015,C00968,2025-05-03,Mobile App,Midwest,Completed
O000016,C00265,2023-06-26,Mobile App,West,Completed
O000017,C01012,2023-07-26,Retail Store,West,Completed
O000018,C00535,2023-02-07,Retail Store,Midwest,Completed
O000019,C00131,2025-10-28,Retail Store,Northeast,Completed
O000020,C00997,2023-09-05,Retail Store,South,Completed
O000021,C00310,2023-04-06,Online,Midwest,Returned
O000022,C00228,2025-06-15,Online,West,Completed
O000023,C01039,2023-07-28,Online,Northeast,Completed
O000024,C00322,2024-02-25,Retail Store,Midwest,Completed
O000025,C00316,2025-10-17,Retail Store,Northeast,Completed
O000026,C00852,2024-02-18,Online,West,Completed
O000027,C01035,2024-11-30,Mobile App,Midwest,Completed
O000028,C01290,2025-04-29,Mobile App,Midwest,Completed
O000029,C00283,2025-05-13,Marketplace,South,Completed
O000030,C00061,2025-07-28,Marketplace,Midwest,Completed
O000031,C00174,2025-11-25,Retail Store,Northeast,Cancelled
O000032,C00126,2023-12-03,Marketplace,West,Completed
O000033,C01294,2023-11-06,Retail Store,Northeast,Completed
O000034,C00705,2024-09-15,Online,Midwest,Returned
O000035,C00914,2023-10-28,Mobile App,West,Completed
O000036,C01329,2025-06-24,Marketplace,Midwest,Completed
O000037,C01101,2023-06-22,Retail Store,Northeast,Completed
O000038,C00438,2023-09-16,Online,Midwest,Completed
O000039,C00048,2024-11-28,Online,South,Completed
O000040,C00623,2024-06-13,Marketplace,South,Completed
O000041,C00532,2023-05-03,Retail Store,Midwest,Completed
O000042,C00611,2023-09-13,Online,West,Cancelled
O000043,C00718,2025-12-28,Retail Store,South,Completed
O000044,C01065,2023-10-14,Mobile App,West,Completed
O000045,C00931,2024-01-30,Online,Midwest,Completed
O000046,C00189,2025-04-23,Online,Northeast,Completed
O000047,C00160,2024-03-15,Retail Store,West,Completed
O000048,C00541,2025-11-28,Marketplace,West,Cancelled
O000049,C00334,2025-09-29,Mobile App,West,Completed
O000050,C01443,2025-07-26,Online,South,Completed
O000051,C01145,2023-03-08,Retail Store,South,Completed
O000052,C00248,2025-04-16,Retail Store,Northeast,Completed
O000053,C00761,2023-11-10,Retail Store,Northeast,Completed
O000054,C00293,2025-09-22,Mobile App,Northeast,Completed
O000055,C00442,2024-09-16,Mobile App,Midwest,Completed
O000056,C00139,2023-09-08,Online,Midwest,Completed
O000057,C00773,2025-07-15,Marketplace,Midwest,Completed
O000058,C01034,2023-09-29,Marketplace,South,Completed
O000059,C00183,2023-11-02,Marketplace,Midwest,Returned
O000060,C01374,2024-11-25,Marketplace,Northeast,Completed
O000061,C01172,2023-12-06,Retail Store,Northeast,Completed
O000062,C01268,2023-06-24,Online,South,Completed
O000063,C00247,2025-09-01,Mobile App,Northeast,Completed
O000064,C01446,2024-02-26,Marketplace,South,Completed
