product_id,product_name,category,unit_cost,unit_price,supplier,active
P0001,Lightslategray Smart Watch,Electronics,26.48,58.62,Ryan and Sons,True
P0002,Lavender Usb Hub,Electronics,108.89,230.82,Moreno-Cooper,False
P0003,Bisque Tablet Case,Electronics,88.27,171.57,"Taylor, Shea and Lee",False
P0004,Dimgray Usb Hub,Electronics,53.81,114.79,Obrien PLC,True
P0005,Darkviolet Smart Watch,Electronics,92.02,181.52,Allen LLC,True
P0006,Mediumseagreen Headphones,Electronics,150.3,273.98,Barnes-Davis,True
P0007,Blue Smart Watch,Electronics,110.8,180.16,"Reese, Cross and Anderson",True
P0008,Whitesmoke Headphones,Electronics,120.69,223.03,Shepard-Williams,False
P0009,Moccasin Bluetooth Speaker,Electronics,56.37,102.74,"Smith, Conner and Young",True
P0010,Orchid Usb Hub,Electronics,100.66,236.09,Graham-Gibbs,False
P0011,Brown Headphones,Electronics,72.14,116.27,"Steele, Wilson and Anderson",False
P0012,Azure Headphones,Electronics,10.75,20.32,Acevedo Inc,True
P0013,Turquoise Bluetooth Speaker,Electronics,91.01,127.84,Ward Group,False
P0014,Darkcyan Headphones,Electronics,104.55,189.67,Hughes Ltd,False
P0015,Saddlebrown Smart Watch,Electronics,103.39,147.82,Flores Ltd,True
P0016,Hotpink Smart Watch,Electronics,108.43,182.65,Cisneros and Sons,True
P0017,Lightcyan Tablet Case,Electronics,15.75,30.38,Kelly-Roth,True
P0018,Teal Tablet Case,Electronics,146.67,281.84,"White, Armstrong and Washington",True
P0019,Slateblue Smart Watch,Electronics,22.04,36.3,Hines-Schneider,True
P0020,Darkturquoise Headphones,Electronics,120.72,185.28,"Clark, Warren and Baker",True
P0021,Blueviolet Throw Blanket,Home,157.06,217.0,Allen PLC,True
P0022,Antiquewhite Throw Blanket,Home,85.66,192.12,"Galloway, Deleon and Cooper",False
P0023,Lavenderblush Storage Bin,Home,8.57,15.34,Roy-Durham,True
P0024,Wheat Cookware Set,Home,104.81,169.87,Russell and Sons,False
P0025,Lavender Throw Blanket,Home,125.9,187.19,"Brooks, Ramsey and Brown",True
P0026,Navajowhite Desk Lamp,Home,112.59,187.78,Vazquez-Smith,False
P0027,Burlywood Throw Blanket,Home,152.07,283.79,"Richardson, Cunningham and Zimmerman",True
P0028,Lightsteelblue Storage Bin,Home,179.34,307.09,Andrews-Donovan,True
P0029,Royalblue Air Purifier,Home,21.58,35.33,Aguilar-Martin,False
P0030,Peachpuff Cookware Set,Home,41.7,90.28,"Armstrong, Bennett and Deleon",True
P0031,Lightyellow Air Purifier,Home,145.72,254.7,"May, Malone and Reese",True
P0032,Saddlebrown Cookware Set,Home,75.4,148.44,Small LLC,True
P0033,Darkviolet Throw Blanket,Home,114.87,211.78,"Bowers, Riley and Walsh",False
P0034,Lightblue Desk Lamp,Home,120.64,265.11,Rivera Inc,True
P0035,Lightyellow Air Purifier,Home,146.56,326.93,Barton LLC,True
P0036,Goldenrod Air Purifier,Home,40.11,71.47,Zamora Inc,True
P0037,Ghostwhite Cookware Set,Home,76.8,171.97,Phillips and Sons,True
P0038,Plum Cookware Set,Home,51.71,81.71,Elliott-Yu,True
P0039,Chartreuse Cookware Set,Home,46.73,66.47,Dean-Johnson,True
P0040,Sienna Cookware Set,Home,89.94,214.96,Sanders Inc,True
P0041,Salmon Trail Jacket,Apparel,32.89,46.27,Compton-Johnson,True
P0042,Red Denim Shirt,Apparel,35.8,79.85,Curry LLC,False
P0043,Khaki Performance Hoodie,Apparel,14.68,33.48,"Lawson, Nguyen and Bates",True
P0044,Mistyrose Performance Hoodie,Apparel,162.6,279.36,"Sanchez, Dodson and Taylor",True
P0045,Azure Graphic Tee,Apparel,170.05,354.19,Clayton-Merritt,True
P0046,Paleturquoise Denim Shirt,Apparel,133.53,310.17,"Wilson, Thomas and Neal",True
P0047,Powderblue Graphic Tee,Apparel,159.8,243.5,Johnson-Ballard,True
