return_id,order_id,return_date,return_reason
R000001,O000001,2025-09-20,Late Delivery
R000002,O000002,2025-10-10,Damaged
R000003,O000021,2023-04-25,Not As Described
R000004,O000034,2024-09-18,Damaged
R000005,O000059,2023-12-05,Wrong Size
R000006,O000076,2024-06-04,Late Delivery
R000007,O000102,2024-12-17,Late Delivery
R000008,O000120,2024-01-03,Wrong Size
R000009,O000138,2024-04-26,Changed Mind
R000010,O000158,2023-04-16,Damaged
R000011,O000181,2023-05-11,Late Delivery
R000012,O000209,2024-02-17,Not As Described
R000013,O000236,2023-02-07,Wrong Size
R000014,O000244,2024-06-19,Not As Described
R000015,O000245,2025-11-18,Late Delivery
R000016,O000255,2024-12-14,Late Delivery
R000017,O000297,2024-10-19,Wrong Size
R000018,O000300,2026-02-06,Changed Mind
R000019,O000316,2024-11-19,Wrong Size
R000020,O000318,2023-10-12,Damaged
R000021,O000339,2025-07-01,Late Delivery
R000022,O000361,2023-05-09,Not As Described
R000023,O000368,2023-09-16,Not As Described
R000024,O000369,2024-09-13,Late Delivery
R000025,O000443,2025-11-18,Late Delivery
R000026,O000453,2024-06-27,Late Delivery
R000027,O000469,2025-03-12,Wrong Size
R000028,O000483,2025-08-05,Changed Mind
R000029,O000485,2024-11-11,Late Delivery
R000030,O000509,2024-09-04,Late Delivery
R000031,O000513,2023-06-18,Not As Described
R000032,O000524,2023-10-19,Wrong Size
R000033,O000531,2025-04-13,Damaged
R000034,O000536,2025-01-29,Changed Mind
R000035,O000558,2025-10-20,Late Delivery
R000036,O000573,2024-09-25,Wrong Size
R000037,O000584,2023-09-05,Late Delivery
R000038,O000599,2025-07-15,Wrong Size
R000039,O000603,2024-06-13,Changed Mind
R000040,O000607,2025-07-24,Late Delivery
R000041,O000618,2024-09-18,Damaged
R000042,O000621,2023-11-18,Changed Mind
R000043,O000635,2024-12-06,Late Delivery
R000044,O000643,2025-10-03,Not As Described
R000045,O000680,2024-05-14,Changed Mind
R000046,O000729,2024-04-23,Damaged
R000047,O000738,2024-11-22,Not As Described
R000048,O000744,2025-04-25,Wrong Size
R000049,O000745,2025-12-19,Changed Mind
R000050,O000801,2024-06-11,Wrong Size
R000051,O000803,2025-03-02,Damaged
R000052,O000806,2025-08-27,Wrong Size
R000053,O000808,2025-05-22,Changed Mind
R000054,O000822,2025-11-20,Damaged
R000055,O000825,2023-09-08,Wrong Size
R000056,O000827,2023-07-26,Wrong Size
R000057,O000830,2024-07-20,Not As Described
R000058,O000837,2024-01-03,Changed Mind
R000059,O000881,2025-11-27,Changed Mind
R000060,O000888,2025-02-12,Damaged
R000061,O000924,2025-07-26,Wrong Size
R000062,O000927,2025-01-19,Late Delivery
R000063,O000937,2025-09-02,Changed Mind
R000064,O000972,2023-06-02,Late Delivery
R000065,O000979,2024-12-05,Changed Mind
R000066,O000980,2023-05-19,Late Delivery
R000067,O000981,2025-11-05,Late Delivery
R000068,O001006,2025-11-14,Not As Described
R000069,O001007,2024-12-05,Wrong Size
R000070,O001023,2024-06-20,Not As Described
R000071,O001043,2024-07-12,Late Delivery
R000072,O001050,2024-07-01,Not As Described
R000073,O001081,2024-06-22,Late Delivery
R000074,O001099,2023-04-25,Wrong Size
R000075,O001105,2023-04-30,Not As Described
R000076,O001110,2023-12-20,Wrong Size
R000077,O001113,2023-09-08,Not As Described
R000078,O001124,2023-04-14,Late Delivery
R000079,O001125,2024-03-23,Late Delivery
R000080,O001134,2025-02-03,Not As Described
R000081,O001145,2024-02-10,Damaged
R000082,O001163,2025-11-09,Changed Mind
R000083,O001178,2024-11-29,Wrong Size
R000084,O001186,2024-07-21,Not As Described
R000085,O001194,2025-03-27,Wrong Size
R000086,O001241,2023-07-30,Wrong Size
R000087,O001285,2025-06-02,Changed Mind
R000088,O001300,2023-02-28,Wrong Size
R000089,O001329,2024-06-03,Late Delivery
R000090,O001343,2025-03-22,Wrong Size
R000091,O001348,2025-08-06,Wrong Size
R000092,O001414,2024-10-19,Not As Described
R000093,O001424,2024-04-15,Changed Mind
R000094,O001462,2023-02-12,Changed Mind
R000095,O001474,2025-08-07,Changed Mind
R000096,O001482,2023-10-01,Not As Described
R000097,O001496,2025-08-09,Late Delivery
R000098,O001497,2023-10-09,Changed Mind
R000099,O001505,2024-01-01,Damaged
R000100,O001524,2024-12-15,Damaged
R000101,O001539,2025-12-17,Wrong Size
R000102,O001551,2025-02-27,Changed Mind
R000103,O001569,2025-02-25,Late Delivery
R000104,O001571,2025-11-18,Wrong Size
R000105,O001574,2023-06-14,Not As Described
R000106,O001602,2023-07-05,Changed Mind
R000107,O001610,2024-12-18,Damaged
R000108,O001637,2024-11-22,Damaged
R000109,O001642,2025-11-24,Wrong Size
R000110,O001731,2023-11-29,Changed Mind
R000111,O001737,2024-01-31,Wrong Size
R000112,O001742,2023-02-09,Changed Mind
R000113,O001744,2025-07-14,Not As Described
R000114,O001756,2023-07-06,Late Delivery
R000115,O001766,2025-04-18,Damaged
R000116,O001772,2025-02-08,Changed Mind
R000117,O001784,2025-01-11,Late Delivery
R000118,O001798,2024-02-11,Damaged
R000119,O001823,2023-04-16,Damaged
R000120,O001824,2025-05-09,Wrong Size
R000121,O001826,2023-02-05,Wrong Size
R000122,O001843,2025-10-15,Wrong Size
R000123,O001844,2025-12-25,Not As Described
R000124,O001851,2024-04-29,Late Delivery
R000125,O001867,2023-08-01,Damaged
R000126,O001880,2024-02-16,Wrong Size
R000127,O001891,2025-11-05,Damaged
R000128,O001894,2024-02-27,Late Delivery
R000129,O001902,2025-10-06,Wrong Size
R000130,O001907,2025-12-14,Damaged
R000131,O001910,2023-11-28,Wrong Size
R000132,O001952,2024-07-18,Not As Described
R000133,O001957,2026-01-15,Not As Described
R000134,O001984,2024-09-01,Damaged
R000135,O001986,2023-10-22,Damaged
R000136,O001994,2024-12-13,Damaged
R000137,O002001,2023-09-20,Damaged
R000138,O002011,2024-11-04,Not As Described
R000139,O002014,2023-10-05,Changed Mind
R000140,O002018,2023-12-23,Late Delivery
R000141,O002023,2023-12-24,Damaged
R000142,O002027,2023-11-13,Changed Mind
R000143,O002037,2023-03-23,Wrong Size
R000144,O002044,2023-07-13,Late Delivery
R000145,O002074,2024-05-25,Not As Described
R000146,O002081,2025-06-14,Wrong Size
R000147,O002115,2024-07-17,Changed Mind
R000148,O002139,2025-08-31,Damaged
R000149,O002161,2024-03-14,Damaged
R000150,O002184,2023-06-01,Damaged
R000151,O002224,2025-06-08,Late Delivery
R000152,O002231,2025-01-18,Wrong Size
R000153,O002238,2023-03-06,Late Delivery
R000154,O002248,2025-11-20,Damaged
R000155,O002249,2025-04-27,Late Delivery
R000156,O002252,2024-03-03,Not As Described
R000157,O002272,2024-09-06,Changed Mind
R000158,O002282,2024-09-12,Damaged
R000159,O002287,2025-04-23,Wrong Size
R000160,O002288,2024-04-04,Damaged
R000161,O002298,2024-11-02,Not As Described
R000162,O002312,2025-07-21,Late Delivery
R000163,O002333,2024-02-07,Late Delivery
R000164,O002419,2023-08-07,Wrong Size
R000165,O002424,2025-02-20,Changed Mind
R000166,O002438,2023-06-15,Changed Mind
R000167,O002441,2024-11-14,Not As Described
R000168,O002495,2023-02-05,Wrong Size
R000169,O002498,2024-06-13,Damaged
R000170,O002506,2024-07-16,Wrong Size
R000171,O002507,2025-05-05,Changed Mind
R000172,O002509,2025-09-02,Changed Mind
R000173,O002531,2023-12-12,Damaged
R000174,O002548,2023-04-30,Late Delivery
R000175,O002550,2023-10-28,Late Delivery
R000176,O002557,2023-02-28,Not As Described
R000177,O002566,2025-08-25,Late Delivery
R000178,O002575,2024-03-17,Not As Described
R000179,O002597,2024-10-11,Damaged
R000180,O002598,2025-10-31,Changed Mind
R000181,O002617,2025-11-26,Late Delivery
R000182,O002637,2024-07-25,Late Delivery
R000183,O002667,2023-11-04,Changed Mind
R000184,O002676,2024-04-16,Late Delivery
R000185,O002690,2024-06-12,Changed Mind
R000186,O002752,2025-03-05,Changed Mind
R000187,O002764,2023-02-01,Not As Described
R000188,O002780,2025-11-12,Wrong Size
R000189,O002782,2023-08-01,Not As Described
R000190,O002783,2023-04-22,Not As Described
R000191,O002792,2025-08-09,Not As Described
R000192,O002802,2023-06-25,Damaged
R000193,O002805,2025-01-02,Late Delivery
R000194,O002850,2023-11-02,Not As Described
R000195,O002852,2023-08-10,Changed Mind
R000196,O002910,2023-07-16,Damaged
R000197,O002939,2023-11-25,Wrong Size
R000198,O002948,2025-03-14,Late Delivery
R000199,O002955,2024-06-28,Wrong Size
R000200,O002971,2024-10-01,Late Delivery
R000201,O002974,2023-07-10,Late Delivery
R000202,O002993,2026-02-08,Damaged
R000203,O002995,2024-11-28,Wrong Size
R000204,O003003,2023-04-01,Late Delivery
R000205,O003010,2023-08-05,Changed Mind
R000206,O003015,2025-11-19,Late Delivery
R000207,O003018,2025-09-05,Not As Described
R000208,O003024,2024-03-15,Changed Mind
R000209,O003028,2023-02-16,Changed Mind
R000210,O003037,2023-06-20,Wrong Size
R000211,O003044,2025-07-08,Changed Mind
R000212,O003046,2024-04-28,Wrong Size
R000213,O003086,2023-07-01,Wrong Size
R000214,O003142,2024-05-29,Changed Mind
R000215,O003163,2025-12-20,Late Delivery
R000216,O003177,2025-07-02,Changed Mind
R000217,O003189,2024-04-13,Damaged
R000218,O003197,2023-05-07,Wrong Size
R000219,O003198,2025-03-02,Late Delivery
R000220,O003230,2023-11-27,Changed Mind
R000221,O003231,2025-05-21,Wrong Size
R000222,O003237,2023-07-30,Damaged
R000223,O003268,2023-11-05,Damaged
R000224,O003269,2025-08-01,Late Delivery
R000225,O003362,2024-04-09,Changed Mind
R000226,O003363,2023-09-02,Changed Mind
R000227,O003396,2023-05-11,Damaged
R000228,O003415,2024-01-26,Wrong Size
R000229,O003430,2025-12-12,Damaged
R000230,O003434,2023-10-16,Late Delivery
R000231,O003435,2023-04-08,Not As Described
R000232,O003458,2025-12-01,Not As Described
R000233,O003460,2025-07-30,Changed Mind
R000234,O003464,2024-05-05,Damaged
R000235,O003474,2023-10-22,Damaged
R000236,O003477,2023-08-29,Wrong Size
R000237,O003500,2025-02-10,Damaged
R000238,O003519,2025-01-16,Not As Described
R000239,O003525,2023-04-05,Late Delivery
R000240,O003560,2025-05-02,Damaged
R000241,O003570,2025-01-18,Damaged
R000242,O003582,2024-05-24,Not As Described
R000243,O003583,2025-07-26,Changed Mind
R000244,O003589,2024-05-10,Wrong Size
R000245,O003593,2025-01-07,Changed Mind
R000246,O003639,2023-06-11,Wrong Size
R000247,O003641,2025-08-28,Damaged
R000248,O003661,2024-06-18,Not As Described
R000249,O003670,2024-10-22,Wrong Size
R000250,O003687,2025-12-25,Damaged
R000251,O003689,2023-09-30,Changed Mind
R000252,O003691,2025-02-02,Late Delivery
R000253,O003717,2023-06-10,Late Delivery
R000254,O003746,2025-06-07,Damaged
R000255,O003756,2025-12-12,Damaged
R000256,O003778,2025-07-08,Damaged
R000257,O003801,2023-10-13,Late Delivery
R000258,O003805,2024-06-05,Wrong Size
R000259,O003817,2025-12-14,Late Delivery
R000260,O003822,2025-08-04,Changed Mind
R000261,O003824,2025-06-27,Changed Mind
R000262,O003826,2023-03-25,Damaged
R000263,O003827,2025-08-06,Damaged
R000264,O003839,2024-12-06,Wrong Size
R000265,O003846,2024-06-09,Wrong Size
R000266,O003848,2025-06-29,Wrong Size
R000267,O003851,2025-11-06,Wrong Size
R000268,O003852,2025-02-13,Not As Described
R000269,O003856,2025-02-14,Wrong Size
R000270,O003857,2024-11-05,Not As Described
R000271,O003883,2024-05-26,Damaged
R000272,O003899,2023-09-16,Late Delivery
R000273,O003918,2023-10-19,Damaged
R000274,O003942,2023-06-07,Late Delivery
R000275,O003948,2023-10-01,Wrong Size
R000276,O003973,2024-05-21,Late Delivery
R000277,O003986,2024-03-05,Late Delivery
R000278,O003987,2025-06-01,Wrong Size
R000279,O003999,2025-06-11,Not As Described
R000280,O004018,2024-10-23,Wrong Size
R000281,O004037,2023-08-24,Not As Described
R000282,O004042,2023-11-30,Not As Described
R000283,O004045,2024-12-29,Wrong Size
R000284,O004082,2023-06-06,Changed Mind
R000285,O004084,2024-07-29,Not As Described
R000286,O004086,2023-10-04,Late Delivery
R000287,O004123,2023-11-16,Damaged
R000288,O004129,2024-05-14,Late Delivery
R000289,O004135,2023-07-20,Changed Mind
R000290,O004149,2023-08-05,Wrong Size
R000291,O004160,2025-01-23,Wrong Size
R000292,O004185,2024-04-24,Not As Described
R000293,O004186,2025-12-27,Late Delivery
R000294,O004207,2024-01-15,Late Delivery
R000295,O004229,2024-11-12,Damaged
R000296,O004238,2023-03-13,Late Delivery
R000297,O004241,2023-09-08,Damaged
R000298,O004242,2024-11-27,Not As Described
R000299,O004298,2023-05-07,Wrong Size
R000300,O004326,2024-10-13,Not As Described
R000301,O004359,2025-06-30,Late Delivery
R000302,O004367,2024-11-23,Late Delivery
R000303,O004403,2023-12-31,Not As Described
R000304,O004404,2023-02-11,Not As Described
R000305,O004408,2023-10-15,Late Delivery
R000306,O004418,2023-04-10,Not As Described
R000307,O004442,2023-03-17,Changed Mind
R000308,O004451,2024-03-23,Damaged
R000309,O004466,2025-07-19,Wrong Size
R000310,O004470,2024-11-12,Late Delivery
R000311,O004474,2024-09-03,Not As Described
R000312,O004484,2023-06-16,Changed Mind
R000313,O004487,2025-09-18,Changed Mind
R000314,O004507,2024-11-21,Changed Mind
R000315,O004523,2024-09-15,Wrong Size
R000316,O004529,2023-11-19,Changed Mind
R000317,O004533,2024-04-28,Wrong Size
R000318,O004535,2024-12-08,Damaged
R000319,O004556,2023-01-29,Damaged
R000320,O004565,2024-03-05,Late Delivery
R000321,O004576,2025-06-12,Not As Described
R000322,O004600,2023-05-30,Late Delivery
R000323,O004620,2025-12-30,Late Delivery
R000324,O004625,2023-09-02,Wrong Size
R000325,O004629,2023-05-11,Damaged
R000326,O004647,2025-09-18,Late Delivery
R000327,O004654,2023-06-16,Changed Mind
R000328,O004675,2025-01-13,Wrong Size
R000329,O004698,2025-06-07,Wrong Size
R000330,O004755,2023-08-19,Not As Described
R000331,O004780,2025-02-06,Late Delivery
R000332,O004798,2025-10-18,Wrong Size
R000333,O004812,2026-01-13,Damaged
R000334,O004820,2024-12-13,Changed Mind
R000335,O004822,2025-02-04,Damaged
R000336,O004848,2023-05-02,Damaged
R000337,O004853,2025-12-01,Changed Mind
R000338,O004856,2024-09-03,Wrong Size
R000339,O004866,2025-01-15,Wrong Size
R000340,O004867,2024-05-24,Late Delivery
R000341,O004880,2024-11-10,Damaged
R000342,O004888,2023-07-09,Damaged
R000343,O004919,2024-12-14,Late Delivery
R000344,O004923,2025-07-09,Late Delivery
R000345,O004950,2024-06-14,Changed Mind
R000346,O004990,2023-10-20,Not As Described
R000347,O005002,2025-07-04,Not As Described
R000348,O005016,2023-08-17,Changed Mind
R000349,O005025,2024-11-13,Wrong Size
R000350,O005030,2023-06-09,Changed Mind
R000351,O005044,2025-03-27,Changed Mind
R000352,O005051,2024-12-09,Wrong Size
R000353,O005060,2025-07-15,Damaged
R000354,O005070,2024-11-26,Damaged
R000355,O005073,2026-01-10,Not As Described
R000356,O005086,2025-09-17,Changed Mind
R000357,O005089,2024-02-21,Damaged
R000358,O005090,2023-03-01,Not As Described
R000359,O005094,2025-09-13,Changed Mind
R000360,O005108,2024-08-16,Changed Mind
R000361,O005114,2024-12-29,Not As Described
R000362,O005123,2025-11-07,Wrong Size
R000363,O005129,2023-10-09,Changed Mind
R000364,O005134,2024-12-25,Damaged
R000365,O005136,2025-05-31,Not As Described
R000366,O005155,2024-03-09,Damaged
