order_id,order_item_id,customer_id,order_date,order_month,order_year,sales_channel,region,order_status,product_id,product_name,category,quantity,unit_price,unit_cost,discount_percent,gross_revenue,discount_amount,net_revenue,cost,profit,profit_margin,average_order_value,payment_method,payment_status,is_returned,loyalty_tier,customer_segment,customer_total_revenue
O000001,OI0000001,C01417,2025-09-04,2025-09,2025,Marketplace,West,Returned,P0018,Teal Tablet Case,Electronics,2,281.84,146.67,0,563.68,0.0,563.68,293.34,270.34,0.47959835367584447,563.68,Buy Now Pay Later,Refunded,True,Bronze,VIP,3613.1255
O000002,OI0000002,C01267,2025-09-23,2025-09,2025,Retail Store,Midwest,Returned,P0058,Aliceblue Graphic Tee,Apparel,1,224.02,143.13,0,224.02,0.0,224.02,143.13,80.89000000000001,0.3610838318007321,281.742,Paypal,Refunded,True,Gold,VIP,5605.696
O000002,OI0000003,C01267,2025-09-23,2025-09,2025,Retail Store,Midwest,Returned,P0017,Lightcyan Tablet Case,Electronics,2,30.38,15.75,5,60.76,3.0380000000000003,57.721999999999994,31.5,26.221999999999994,0.45428086344894486,281.742,Paypal,Refunded,True,Gold,VIP,5605.696
O000003,OI0000004,C00180,2025-03-19,2025-03,2025,Mobile App,Midwest,Completed,P0080,Firebrick Makeup Brush Set,Beauty,3,392.84,163.94,0,1178.52,0.0,1178.52,491.82,686.7,0.5826799714896651,2102.92,Debit Card,Paid,False,Silver,VIP,5313.816
O000003,OI0000005,C00180,2025-03-19,2025-03,2025,Mobile App,Midwest,Completed,P0113,Mediumpurple Planner,Office,2,152.02,79.85,0,304.04,0.0,304.04,159.7,144.34000000000003,0.4747401657676622,2102.92,Debit Card,Paid,False,Silver,VIP,5313.816
O000003,OI0000006,C00180,2025-03-19,2025-03,2025,Mobile App,Midwest,Completed,P0059,Powderblue Graphic Tee,Apparel,2,310.18,133.96,0,620.36,0.0,620.36,267.92,352.44,0.5681217357663292,2102.92,Debit Card,Paid,False,Silver,VIP,5313.816
O000004,OI0000007,C00055,2023-02-02,2023-02,2023,Mobile App,South,Completed,P0042,Red Denim Shirt,Apparel,1,79.85,35.8,0,79.85,0.0,79.85,35.8,44.05,0.5516593613024421,576.0345,Credit Card,Paid,False,Silver,VIP,5994.702
O000004,OI0000008,C00055,2023-02-02,2023-02,2023,Mobile App,South,Completed,P0063,Burlywood Body Lotion,Beauty,2,8.2,5.54,0,16.4,0.0,16.4,11.08,5.3199999999999985,0.324390243902439,576.0345,Credit Card,Paid,False,Silver,VIP,5994.702
O000004,OI0000009,C00055,2023-02-02,2023-02,2023,Mobile App,South,Completed,P0115,Lightcoral Monitor Stand,Office,2,66.66,49.6,15,133.32,19.997999999999998,113.322,99.2,14.122,0.12461834418735991,576.0345,Credit Card,Paid,False,Silver,VIP,5994.702
O000004,OI0000010,C00055,2023-02-02,2023-02,2023,Mobile App,South,Completed,P0056,Teal Graphic Tee,Apparel,1,385.75,167.31,5,385.75,19.2875,366.4625,167.31,199.15249999999997,0.5434457823106047,576.0345,Credit Card,Paid,False,Silver,VIP,5994.702
O000005,OI0000011,C01283,2024-05-10,2024-05,2024,Mobile App,West,Completed,P0032,Saddlebrown Cookware Set,Home,2,148.44,75.4,0,296.88,0.0,296.88,150.8,146.07999999999998,0.49205066019940713,509.55899999999997,Debit Card,Paid,False,Bronze,VIP,5613.109
O000005,OI0000012,C01283,2024-05-10,2024-05,2024,Mobile App,West,Completed,P0088,Royalblue Water Bottle,Sports,1,236.31,102.24,10,236.31,23.631,212.679,102.24,110.43900000000001,0.5192755279082562,509.55899999999997,Debit Card,Paid,False,Bronze,VIP,5613.109
O000006,OI0000013,C00239,2025-05-14,2025-05,2025,Mobile App,Northeast,Completed,P0077,Maroon Face Serum,Beauty,1,9.56,6.81,0,9.56,0.0,9.56,6.81,2.750000000000001,0.2876569037656905,64.0025,Paypal,Paid,False,Silver,VIP,5001.7805
O000006,OI0000014,C00239,2025-05-14,2025-05,2025,Mobile App,Northeast,Completed,P0082,Thistle Resistance Bands,Sports,1,64.05,28.14,15,64.05,9.6075,54.442499999999995,28.14,26.302499999999995,0.48312439729990353,64.0025,Paypal,Paid,False,Silver,VIP,5001.7805
O000007,OI0000015,C00966,2025-06-30,2025-06,2025,Online,West,Completed,P0081,Darkolivegreen Yoga Mat,Sports,1,96.93,49.39,0,96.93,0.0,96.93,49.39,47.540000000000006,0.49045703084700304,138.573,Gift Card,Paid,False,Gold,Loyal,1290.219
O000007,OI0000016,C00966,2025-06-30,2025-06,2025,Online,West,Completed,P0041,Salmon Trail Jacket,Apparel,1,46.27,32.89,10,46.27,4.627000000000001,41.643,32.89,8.753,0.2101913887087866,138.573,Gift Card,Paid,False,Gold,Loyal,1290.219
O000008,OI0000017,C01167,2024-02-17,2024-02,2024,Marketplace,Midwest,Completed,P0024,Wheat Cookware Set,Home,4,169.87,104.81,0,679.48,0.0,679.48,419.24,260.24,0.3829987637605228,782.77,Gift Card,Paid,False,Silver,VIP,4098.027
O000008,OI0000018,C01167,2024-02-17,2024-02,2024,Marketplace,Midwest,Completed,P0066,Turquoise Body Lotion,Beauty,1,103.29,50.62,0,103.29,0.0,103.29,50.62,52.67000000000001,0.5099235163132927,782.77,Gift Card,Paid,False,Silver,VIP,4098.027
O000009,OI0000019,C01016,2025-06-03,2025-06,2025,Retail Store,West,Completed,P0027,Burlywood Throw Blanket,Home,2,283.79,152.07,0,567.58,0.0,567.58,304.14,263.44000000000005,0.46414602346805744,567.58,Credit Card,Paid,False,Silver,VIP,3972.5775000000003
O000010,OI0000020,C01463,2025-09-26,2025-09,2025,Online,South,Completed,P0100,Saddlebrown Yoga Mat,Sports,4,280.83,119.83,0,1123.32,0.0,1123.32,479.32,644.0,0.5733005733005734,1189.98,Credit Card,Paid,False,Silver,VIP,2636.7415
