order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_percent
OI0000001,O000001,P0018,2,281.84,146.67,0
OI0000002,O000002,P0058,1,224.02,143.13,0
OI0000003,O000002,P0017,2,30.38,15.75,5
OI0000004,O000003,P0080,3,392.84,163.94,0
OI0000005,O000003,P0113,2,152.02,79.85,0
OI0000006,O000003,P0059,2,310.18,133.96,0
OI0000007,O000004,P0042,1,79.85,35.8,0
OI0000008,O000004,P0063,2,8.2,5.54,0
OI0000009,O000004,P0115,2,66.66,49.6,15
OI0000010,O000004,P0056,1,385.75,167.31,5
OI0000011,O000005,P0032,2,148.44,75.4,0
OI0000012,O000005,P0088,1,236.31,102.24,10
OI0000013,O000006,P0077,1,9.56,6.81,0
OI0000014,O000006,P0082,1,64.05,28.14,15
OI0000015,O000007,P0081,1,96.93,49.39,0
OI0000016,O000007,P0041,1,46.27,32.89,10
OI0000017,O000008,P0024,4,169.87,104.81,0
OI0000018,O000008,P0066,1,103.29,50.62,0
OI0000019,O000009,P0027,2,283.79,152.07,0
OI0000020,O000010,P0100,4,280.83,119.83,0
OI0000021,O000010,P0115,1,66.66,49.6,0
OI0000022,O000011,P0029,1,35.33,21.58,0
OI0000023,O000011,P0010,3,236.09,100.66,20
OI0000024,O000012,P0067,1,33.07,19.77,5
OI0000025,O000013,P0033,2,211.78,114.87,5
OI0000026,O000014,P0070,4,131.06,75.18,0
OI0000027,O000014,P0086,1,263.23,167.09,10
OI0000028,O000014,P0025,1,187.19,125.9,5
OI0000029,O000015,P0055,2,150.07,98.61,25
OI0000030,O000015,P0016,2,182.65,108.43,5
OI0000031,O000015,P0011,1,116.27,72.14,10
OI0000032,O000016,P0026,1,187.78,112.59,20
OI0000033,O000016,P0015,1,147.82,103.39,0
OI0000034,O000016,P0120,2,123.81,98.52,0
OI0000035,O000016,P0088,3,236.31,102.24,0
OI0000036,O000017,P0045,2,354.19,170.05,15
OI0000037,O000017,P0033,1,211.78,114.87,0
OI0000038,O000017,P0004,2,114.79,53.81,15
OI0000039,O000018,P0103,1,100.44,47.01,0
OI0000040,O000018,P0117,1,252.27,158.43,0
OI0000041,O000018,P0088,3,236.31,102.24,0
OI0000042,O000018,P0028,1,307.09,179.34,5
OI0000043,O000019,P0083,1,63.1,34.73,0
OI0000044,O000019,P0057,3,95.09,41.82,15
OI0000045,O000019,P0019,2,36.3,22.04,10
OI0000046,O000020,P0052,2,142.04,68.52,15
OI0000047,O000021,P0001,2,58.62,26.48,5
OI0000048,O000021,P0032,4,148.44,75.4,10
OI0000049,O000022,P0062,2,274.98,138.35,20
OI0000050,O000022,P0046,2,310.17,133.53,5
OI0000051,O000022,P0063,4,8.2,5.54,10
OI0000052,O000022,P0117,2,252.27,158.43,5
OI0000053,O000023,P0029,1,35.33,21.58,110
OI0000054,O000023,P0065,1,270.21,125.01,15
OI0000055,O000024,P0024,1,169.87,104.81,10
OI0000056,O000025,P0101,2,338.95,156.07,0
OI0000057,O000025,P0077,2,9.56,6.81,10
OI0000058,O000025,P0059,1,310.18,133.96,0
OI0000059,O000026,P0060,4,306.49,149.27,20
OI0000060,O000026,P0016,1,182.65,108.43,10
OI0000061,O000027,P0060,2,306.49,149.27,0
OI0000062,O000028,P0070,1,131.06,75.18,5
OI0000063,O000028,P0079,1,28.55,21.67,0
OI0000064,O000028,P0085,1,142.09,59.82,5
OI0000065,O000029,P0015,3,147.82,103.39,10
OI0000066,O000029,P0115,4,66.66,49.6,0
OI0000067,O000029,P0011,1,116.27,72.14,10
OI0000068,O000029,P0107,4,140.71,82.95,0
OI0000069,O000030,P0042,2,79.85,35.8,0
OI0000070,O000030,P0051,1,104.92,60.39,15
OI0000071,O000030,P0062,1,274.98,138.35,0
OI0000072,O000030,P0114,1,41.45,23.84,10
OI0000073,O000031,P0034,2,265.11,120.64,15
OI0000074,O000031,P0102,1,195.72,100.75,25
OI0000075,O000031,P0101,2,338.95,156.07,20
OI0000076,O000032,P0063,2,8.2,5.54,5
OI0000077,O000032,P0108,2,299.87,137.39,5
OI0000078,O000032,P0031,1,254.7,145.72,0
OI0000079,O000032,P0037,-1,171.97,76.8,5
OI0000080,O000033,P0029,2,35.33,21.58,10
OI0000081,O000033,P0118,1,177.52,114.17,0
OI0000082,O000034,P0016,3,182.65,108.43,5
OI0000083,O000034,P0016,2,182.65,108.43,10
OI0000084,O000034,P0102,2,195.72,100.75,110
OI0000085,O000035,P0079,2,28.55,21.67,0
OI0000086,O000035,P0108,1,299.87,137.39,20
OI0000087,O000036,P0025,2,187.19,125.9,0
OI0000088,O000037,P0106,4,56.39,27.98,5
OI0000089,O000038,P0014,1,189.67,104.55,10
OI0000090,O000038,P0048,2,316.06,150.66,0
OI0000091,O000039,P0071,3,66.14,34.77,10
OI0000092,O000039,P0117,2,252.27,158.43,0
OI0000093,O000039,P0079,1,28.55,21.67,10
OI0000094,O000040,P0030,1,90.28,41.7,0
OI0000095,O000040,P0075,1,134.51,78.21,15
OI0000096,O000040,P0068,1,103.65,44.29,5
OI0000097,O000040,P0117,1,252.27,158.43,20
OI0000098,O000041,P0027,3,283.79,152.07,0
OI0000099,O000041,P0005,1,181.52,92.02,0
OI0000100,O000041,P0055,3,150.07,98.61,5
OI0000101,O000041,P0117,1,252.27,158.43,0
OI0000102,O000042,P0070,1,131.06,75.18,0
OI0000103,O000042,P0009,3,102.74,56.37,10
OI0000104,O000043,P0062,1,274.98,138.35,10
OI0000105,O000043,P0090,2,60.09,33.62,5
OI0000106,O000043,P0053,3,23.29,11.09,15
OI0000107,O000043,P0035,3,326.93,146.56,5
OI0000108,O000044,P0070,1,131.06,75.18,0
OI0000109,O000045,P0034,2,265.11,120.64,5
OI0000110,O000045,P0023,1,15.34,8.57,20
OI0000111,O000045,P0030,1,90.28,41.7,0
OI0000112,O000046,P0068,1,103.65,44.29,0
OI0000113,O000047,P0023,3,15.34,8.57,0
OI0000114,O000047,P0021,2,217.0,157.06,5
OI0000115,O000047,P0119,3,78.86,37.39,5
OI0000116,O000048,P0021,1,217.0,157.06,0
OI0000117,O000048,P0022,1,192.12,85.66,20
OI0000118,O000048,P0120,3,123.81,98.52,0
OI0000119,O000049,P0111,1,116.59,86.94,0
OI0000120,O000050,P0009,2,102.74,56.37,0
OI0000121,O000050,P0111,1,116.59,86.94,0
OI0000122,O000050,P0060,1,306.49,149.27,0
OI0000123,O000051,P0017,1,30.38,15.75,5
OI0000124,O000051,P0084,2,42.76,20.69,10
OI0000125,O000051,P0053,1,23.29,11.09,0
OI0000126,O000051,P0119,1,78.86,37.39,0
OI0000127,O000052,P0082,3,64.05,28.14,0
OI0000128,O000052,P0098,2,17.88,10.05,10
OI0000129,O000052,P0102,1,195.72,100.75,0
OI0000130,O000053,P0101,2,338.95,156.07,5
OI0000131,O000053,P0013,1,127.84,91.01,0
OI0000132,O000053,P0052,2,142.04,68.52,10
OI0000133,O000053,P0073,1,372.75,170.56,5
OI0000134,O000054,P0050,2,171.47,76.47,0
OI0000135,O000054,P0097,3,163.15,70.37,0
OI0000136,O000055,P0011,2,116.27,72.14,0
OI0000137,O000056,P0109,2,39.14,21.27,5
OI0000138,O000056,P0113,1,152.02,79.85,15
OI0000139,O000056,P0107,-1,140.71,82.95,10
OI0000140,O000056,P0027,1,283.79,152.07,0
OI0000141,O000057,P0087,2,136.09,59.78,0
OI0000142,O000057,P0024,1,169.87,104.81,0
OI0000143,O000057,P0066,1,103.29,50.62,0
OI0000144,O000057,P0080,2,392.84,163.94,0
OI0000145,O000058,P0084,1,42.76,20.69,0
OI0000146,O000058,P0085,2,142.09,59.82,10
OI0000147,O000058,P0037,2,171.97,76.8,20
OI0000148,O000059,P0057,1,95.09,41.82,5
OI0000149,O000059,P0077,3,9.56,6.81,0
OI0000150,O000060,P0105,2,124.3,57.25,10
OI0000151,O000060,P0119,3,78.86,37.39,5
OI0000152,O000060,P0004,1,114.79,53.81,0
OI0000153,O000060,P0050,1,171.47,76.47,15
OI0000154,O000061,P0017,3,30.38,15.75,10
OI0000155,O000061,P0049,1,59.24,43.15,5
OI0000156,O000061,P0078,4,268.06,129.83,15
OI0000157,O000062,P0058,1,224.02,143.13,15
OI0000158,O000062,P0017,1,30.38,15.75,10
OI0000159,O000063,P0117,1,252.27,158.43,5
OI0000160,O000063,P0111,2,116.59,86.94,5
OI0000161,O000064,P0023,1,15.34,8.57,0
OI0000162,O000065,P0021,3,217.0,157.06,0
OI0000163,O000066,P0047,1,243.5,159.8,0
OI0000164,O000067,P0116,1,53.16,36.42,0
OI0000165,O000067,P0042,2,79.85,35.8,10
OI0000166,O000068,P0025,1,187.19,125.9,0
OI0000167,O000068,P0099,1,179.3,114.96,0
OI0000168,O000069,P0063,2,8.2,5.54,15
OI0000169,O000069,P0024,3,169.87,104.81,5
OI0000170,O000070,P0093,3,64.09,40.65,15
OI0000171,O000071,P0114,2,41.45,23.84,0
OI0000172,O000071,P0034,1,265.11,120.64,0
OI0000173,O000071,P0009,1,102.74,56.37,5
OI0000174,O000072,P0020,1,185.28,120.72,20
OI0000175,O000073,P0085,1,142.09,59.82,20
OI0000176,O000073,P0085,1,142.09,59.82,0
OI0000177,O000073,P0025,4,187.19,125.9,5
OI0000178,O000073,P0077,2,9.56,6.81,0
OI0000179,O000074,P0113,-1,152.02,79.85,0
OI0000180,O000074,P0028,1,307.09,179.34,20
OI0000181,O000075,P0068,1,103.65,44.29,10
OI0000182,O000075,P0014,2,189.67,104.55,10
OI0000183,O000075,P0064,2,60.15,32.62,15
OI0000184,O000076,P0072,1,272.32,149.77,0
OI0000185,O000077,P0001,1,58.62,26.48,25
OI0000186,O000077,P0080,2,392.84,163.94,0
OI0000187,O000078,P0012,3,20.32,10.75,0
OI0000188,O000078,P0048,4,316.06,150.66,5
OI0000189,O000078,P0097,2,163.15,70.37,10
OI0000190,O000079,P0089,1,49.96,38.06,20
OI0000191,O000079,P0013,1,127.84,91.01,5
OI0000192,O000080,P0071,1,66.14,34.77,15
OI0000193,O000080,P0078,2,268.06,129.83,0
OI0000194,O000081,P0061,2,241.21,110.37,10
OI0000195,O000081,P0042,1,79.85,35.8,20
OI0000196,O000081,P0044,2,279.36,162.6,20
OI0000197,O000082,P0085,1,142.09,59.82,15
OI0000198,O000083,P0022,1,192.12,85.66,20
OI0000199,O000083,P0087,2,136.09,59.78,15
OI0000200,O000083,P0119,1,78.86,37.39,0
OI0000201,O000083,P0088,1,236.31,102.24,5
OI0000202,O000084,P0043,1,33.48,14.68,5
OI0000203,O000084,P0057,1,95.09,41.82,10
OI0000204,O000085,P0086,1,263.23,167.09,0
OI0000205,O000085,P0002,4,230.82,108.89,0
OI0000206,O000085,P0011,1,116.27,72.14,5
OI0000207,O000085,P0052,1,142.04,68.52,0
OI0000208,O000086,P0080,4,392.84,163.94,0
OI0000209,O000086,P0089,2,49.96,38.06,15
OI0000210,O000086,P0005,1,181.52,92.02,5
OI0000211,O000086,P0018,1,281.84,146.67,25
OI0000212,O000087,P0064,1,60.15,32.62,5
OI0000213,O000088,P0052,1,142.04,68.52,10
OI0000214,O000088,P0099,1,179.3,114.96,0
OI0000215,O000089,P0077,1,9.56,6.81,20
OI0000216,O000089,P0047,1,243.5,159.8,0
OI0000217,O000090,P0096,1,280.31,123.46,5
OI0000218,O000090,P0010,-1,236.09,100.66,0
OI0000219,O000090,P0023,3,15.34,8.57,5
OI0000220,O000091,P0092,1,51.3,24.69,10
OI0000221,O000091,P0018,3,281.84,146.67,0
OI0000222,O000091,P0046,3,310.17,133.53,0
OI0000223,O000092,P0099,1,179.3,114.96,20
OI0000224,O000092,P0066,2,103.29,50.62,0
OI0000225,O000092,P0080,1,392.84,163.94,5
OI0000226,O000092,P0006,1,273.98,150.3,0
OI0000227,O000093,P0061,1,241.21,110.37,20
OI0000228,O000094,P0030,1,90.28,41.7,10
OI0000229,O000094,P0063,1,8.2,5.54,0
OI0000230,O000094,P0057,1,95.09,41.82,20
OI0000231,O000095,P0113,4,152.02,79.85,5
OI0000232,O000096,P0042,1,79.85,35.8,20
OI0000233,O000096,P0010,2,236.09,100.66,0
OI0000234,O000096,P0088,2,236.31,102.24,0
OI0000235,O000097,P0054,1,83.38,49.27,5
OI0000236,O000097,P0092,2,51.3,24.69,5
OI0000237,O000098,P0065,3,270.21,125.01,0
OI0000238,O000098,P0061,2,241.21,110.37,10
OI0000239,O000098,P0069,4,259.35,175.47,15
OI0000240,O000099,P0092,1,51.3,24.69,10
OI0000241,O000099,P0080,1,392.84,163.94,0
OI0000242,O000099,P0074,1,62.08,27.78,10
OI0000243,O000099,P0065,2,270.21,125.01,0
OI0000244,O000100,P0091,1,196.39,82.27,15
OI0000245,O000100,P0011,1,116.27,72.14,5
OI0000246,O000100,P0066,2,103.29,50.62,0
OI0000247,O000101,P0037,3,171.97,76.8,20
OI0000248,O000101,P0060,1,306.49,149.27,0
OI0000249,O000101,P0099,2,179.3,114.96,0
OI0000250,O000101,P0044,2,279.36,162.6,5
OI0000251,O000102,P0040,1,214.96,89.94,0
OI0000252,O000102,P0054,1,83.38,49.27,20
OI0000253,O000103,P0119,1,78.86,37.39,5
