payment_id,order_id,payment_method,payment_status
PMT000001,O000001,Buy Now Pay Later,Refunded
PMT000002,O000002,PayPal,Refunded
PMT000003,O000003,Debit Card,Paid
PMT000004,O000004,Credit Card,Paid
PMT000005,O000005,Debit Card,Paid
PMT000006,O000006,PayPal,Paid
PMT000007,O000007,Gift Card,Paid
PMT000008,O000008,Gift Card,Paid
PMT000009,O000009,Credit Card,Paid
PMT000010,O000010,Credit Card,Paid
PMT000011,O000011,Buy Now Pay Later,Paid
PMT000012,O000012,PayPal,Pending
PMT000013,O000013,Buy Now Pay Later,Paid
PMT000014,O000014,Gift Card,Paid
PMT000015,O000015,PayPal,Paid
PMT000016,O000016,Buy Now Pay Later,Paid
PMT000017,O000017,Credit Card,Paid
PMT000018,O000018,Debit Card,Pending
PMT000019,O000019,Credit Card,Paid
PMT000020,O000020,PayPal,Paid
PMT000021,O000021,Buy Now Pay Later,Refunded
PMT000022,O000022,Credit Card,Pending
PMT000023,O000023,PayPal,Pending
PMT000024,O000024,PayPal,Paid
PMT000025,O000025,Credit Card,Pending
PMT000026,O000026,Debit Card,Paid
PMT000027,O000027,Buy Now Pay Later,Paid
PMT000028,O000028,Debit Card,Paid
PMT000029,O000029,PayPal,Paid
PMT000030,O000030,Credit Card,Paid
PMT000031,O000031,Gift Card,Paid
PMT000032,O000032,Buy Now Pay Later,Paid
PMT000033,O000033,PayPal,Pending
PMT000034,O000034,PayPal,Refunded
PMT000035,O000035,Buy Now Pay Later,Paid
PMT000036,O000036,Debit Card,Paid
PMT000037,O000037,PayPal,Paid
PMT000038,O000038,PayPal,Pending
PMT000039,O000039,Credit Card,Paid
PMT000040,O000040,PayPal,Paid
PMT000041,O000041,Gift Card,Paid
PMT000042,O000042,Buy Now Pay Later,Pending
PMT000043,O000043,Buy Now Pay Later,Paid
PMT000044,O000044,Buy Now Pay Later,Pending
PMT000045,O000045,Credit Card,Paid
PMT000046,O000046,Credit Card,Pending
PMT000047,O000047,PayPal,Pending
PMT000048,O000048,Buy Now Pay Later,Paid
PMT000049,O000049,PayPal,Pending
PMT000050,O000050,Buy Now Pay Later,Pending
PMT000051,O000051,Credit Card,Paid
PMT000052,O000052,Gift Card,Paid
PMT000053,O000053,Buy Now Pay Later,Paid
PMT000054,O000054,Gift Card,Paid
PMT000055,O000055,Gift Card,Paid
PMT000056,O000056,Debit Card,Pending
PMT000057,O000057,Buy Now Pay Later,Pending
PMT000058,O000058,Buy Now Pay Later,Pending
PMT000059,O000059,Gift Card,Refunded
PMT000060,O000060,PayPal,Paid
PMT000061,O000061,Debit Card,Pending
PMT000062,O000062,Credit Card,Paid
PMT000063,O000063,PayPal,Paid
PMT000064,O000064,Debit Card,Paid
PMT000065,O000065,Gift Card,Paid
PMT000066,O000066,PayPal,Pending
PMT000067,O000067,Credit Card,Paid
PMT000068,O000068,Buy Now Pay Later,Pending
PMT000069,O000069,PayPal,Paid
PMT000070,O000070,Credit Card,Paid
PMT000071,O000071,PayPal,Paid
PMT000072,O000072,Gift Card,Pending
PMT000073,O000073,Debit Card,Paid
PMT000074,O000074,Debit Card,Paid
PMT000075,O000075,Buy Now Pay Later,Paid
PMT000076,O000076,Gift Card,Refunded
PMT000077,O000077,Buy Now Pay Later,Pending
PMT000078,O000078,PayPal,Paid
PMT000079,O000079,Buy Now Pay Later,Paid
PMT000080,O000080,Buy Now Pay Later,Paid
PMT000081,O000081,Credit Card,Paid
PMT000082,O000082,Buy Now Pay Later,Paid
PMT000083,O000083,PayPal,Paid
PMT000084,O000084,Buy Now Pay Later,Paid
PMT000085,O000085,PayPal,Pending
PMT000086,O000086,Debit Card,Paid
PMT000087,O000087,Buy Now Pay Later,Paid
PMT000088,O000088,PayPal,Paid
PMT000089,O000089,Gift Card,Pending
PMT000090,O000090,Buy Now Pay Later,Paid
PMT000091,O000091,Gift Card,Paid
PMT000092,O000092,Gift Card,Paid
PMT000093,O000093,PayPal,Paid
PMT000094,O000094,Gift Card,Paid
PMT000095,O000095,PayPal,Paid
PMT000096,O000096,Debit Card,Paid
PMT000097,O000097,Gift Card,Paid
PMT000098,O000098,PayPal,Paid
PMT000099,O000099,Gift Card,Paid
PMT000100,O000100,Debit Card,Paid
PMT000101,O000101,Debit Card,Paid
PMT000102,O000102,Buy Now Pay Later,Refunded
PMT000103,O000103,Credit Card,Paid
PMT000104,O000104,Gift Card,Paid
PMT000105,O000105,Debit Card,Paid
PMT000106,O000106,Debit Card,Paid
PMT000107,O000107,Gift Card,Paid
PMT000108,O000108,Gift Card,Paid
PMT000109,O000109,PayPal,Paid
PMT000110,O000110,PayPal,Paid
PMT000111,O000111,Debit Card,Paid
PMT000112,O000112,Credit Card,Paid
PMT000113,O000113,Credit Card,Pending
PMT000114,O000114,Credit Card,Paid
PMT000115,O000115,PayPal,Pending
PMT000116,O000116,Credit Card,Pending
PMT000117,O000117,Buy Now Pay Later,Pending
PMT000118,O000118,Credit Card,Paid
PMT000119,O000119,Gift Card,Paid
PMT000120,O000120,PayPal,Refunded
PMT000121,O000121,PayPal,Paid
PMT000122,O000122,PayPal,Paid
PMT000123,O000123,Credit Card,Pending
PMT000124,O000124,Credit Card,Paid
PMT000125,O000125,Debit Card,Pending
PMT000126,O000126,Buy Now Pay Later,Paid
PMT000127,O000127,Debit Card,Paid
PMT000128,O000128,Gift Card,Paid
